,model,hidden_size,lr,n_epochs,embed_dim,model_name,Test Accuracy,Test F1
71,GAT,128,0.001,200,32,GAT,0.34183673469387754,0.1597055599988151
72,GAT,256,0.01,1,16,GAT,0.34183673469387754,0.08491761723700887
73,GAT,256,0.01,1,32,GAT,0.34183673469387754,0.08491761723700887
74,GAT,256,0.01,100,16,GAT,0.3163265306122449,0.08010335917312662
75,GAT,256,0.01,100,32,GAT,0.3826530612244898,0.15349181436537407
76,GAT,256,0.01,200,16,GAT,0.37755102040816324,0.1936424009671461
77,GAT,256,0.01,200,32,GAT,0.37755102040816324,0.15927340565679068
78,GAT,256,0.005,1,16,GAT,0.34183673469387754,0.08491761723700887
79,GAT,256,0.005,1,32,GAT,0.34183673469387754,0.08491761723700887
80,GAT,256,0.005,100,16,GAT,0.37755102040816324,0.17551273382916385
81,GAT,256,0.005,100,32,GAT,0.32653061224489793,0.10865304286356918
82,GAT,256,0.005,200,16,GAT,0.3469387755102041,0.2037637264523254
83,GAT,256,0.005,200,32,GAT,0.3826530612244898,0.2072767615860025
84,GAT,256,0.001,1,16,GAT,0.3163265306122449,0.08010335917312662
85,GAT,256,0.001,1,32,GAT,0.34183673469387754,0.08491761723700887
86,GAT,256,0.001,100,16,GAT,0.37244897959183676,0.15371822828068332
87,GAT,256,0.001,100,32,GAT,0.3979591836734694,0.19513100900023717
88,GAT,256,0.001,200,16,GAT,0.3469387755102041,0.1625709455379785
89,GAT,256,0.001,200,32,GAT,0.4030612244897959,0.1950632911392405
90,GAT,512,0.01,1,16,GAT,0.34183673469387754,0.08491761723700887
91,GAT,512,0.01,1,32,GAT,0.34183673469387754,0.08491761723700887
92,GAT,512,0.01,100,16,GAT,0.3520408163265306,0.1463070420517229
93,GAT,512,0.01,100,32,GAT,0.3673469387755102,0.14769195785643902
94,GAT,512,0.01,200,16,GAT,0.32653061224489793,0.15001102222643056
95,GAT,512,0.01,200,32,GAT,0.3979591836734694,0.1723057644110276
96,GAT,512,0.005,1,16,GAT,0.34183673469387754,0.08491761723700887
97,GAT,512,0.005,1,32,GAT,0.34183673469387754,0.08491761723700887
98,GAT,512,0.005,100,16,GAT,0.3826530612244898,0.17222810019549706
99,GAT,512,0.005,100,32,GAT,0.3979591836734694,0.2150455452207561
100,GAT,512,0.005,200,16,GAT,0.39285714285714285,0.1875988520358669
101,GAT,512,0.005,200,32,GAT,0.39285714285714285,0.19177817807514153
102,GAT,512,0.001,1,16,GAT,0.3163265306122449,0.08010335917312662
103,GAT,512,0.001,1,32,GAT,0.34183673469387754,0.08491761723700887
104,GAT,512,0.001,100,16,GAT,0.413265306122449,0.17864104706209968
105,GAT,512,0.001,100,32,GAT,0.3826530612244898,0.19505859610970158
106,GAT,512,0.001,200,16,GAT,0.3112244897959184,0.15532666567149325
107,GAT,512,0.001,200,32,GAT,0.3520408163265306,0.201126716796688
