,model,lr,n_epochs,hidden_size,weight_decay,model_name,Test Accuracy,Test F1,max_depth,min_samples_split,min_samples_leaf,criterion,n_estimators,max_features,C,penalty,solver,max_iter,class_weight
124,MLP,0.001,50.0,128.0,0.01,MLP,0.413265306122449,0.24382390637414386,,,,,,,,,,,
125,MLP,0.001,50.0,128.0,0.001,MLP,0.32653061224489793,0.1756536864549433,,,,,,,,,,,
126,MLP,0.001,50.0,256.0,0.1,MLP,0.42346938775510207,0.2146670844898081,,,,,,,,,,,
127,MLP,0.001,50.0,256.0,0.01,MLP,0.41836734693877553,0.27388522319973935,,,,,,,,,,,
128,MLP,0.001,50.0,256.0,0.001,MLP,0.46938775510204084,0.3433125814849047,,,,,,,,,,,
129,MLP,0.001,50.0,512.0,0.1,MLP,0.40816326530612246,0.2487482324696595,,,,,,,,,,,
130,MLP,0.001,50.0,512.0,0.01,MLP,0.413265306122449,0.3254441316643792,,,,,,,,,,,
131,MLP,0.001,50.0,512.0,0.001,MLP,0.4489795918367347,0.29114327244015364,,,,,,,,,,,
132,MLP,0.001,50.0,1024.0,0.1,MLP,0.3979591836734694,0.30520625711351085,,,,,,,,,,,
133,MLP,0.001,50.0,1024.0,0.01,MLP,0.3826530612244898,0.23440273947443094,,,,,,,,,,,
134,MLP,0.001,50.0,1024.0,0.001,MLP,0.37755102040816324,0.22376611463298768,,,,,,,,,,,
135,MLP,0.001,100.0,64.0,0.1,MLP,0.4030612244897959,0.21078520737887266,,,,,,,,,,,
136,MLP,0.001,100.0,64.0,0.01,MLP,0.41836734693877553,0.2117739898989899,,,,,,,,,,,
137,MLP,0.001,100.0,64.0,0.001,MLP,0.3673469387755102,0.18415532535791745,,,,,,,,,,,
138,MLP,0.001,100.0,128.0,0.1,MLP,0.42857142857142855,0.23981239946089303,,,,,,,,,,,
139,MLP,0.001,100.0,128.0,0.01,MLP,0.37755102040816324,0.24365265887005014,,,,,,,,,,,
140,MLP,0.001,100.0,128.0,0.001,MLP,0.40816326530612246,0.236197119270135,,,,,,,,,,,
141,MLP,0.001,100.0,256.0,0.1,MLP,0.3826530612244898,0.2567246128499602,,,,,,,,,,,
142,MLP,0.001,100.0,256.0,0.01,MLP,0.4336734693877551,0.24770306020306018,,,,,,,,,,,
143,MLP,0.001,100.0,256.0,0.001,MLP,0.42346938775510207,0.22781575029798262,,,,,,,,,,,
144,MLP,0.001,100.0,512.0,0.1,MLP,0.40816326530612246,0.2550410866281701,,,,,,,,,,,
145,MLP,0.001,100.0,512.0,0.01,MLP,0.37244897959183676,0.25992697687903166,,,,,,,,,,,
146,MLP,0.001,100.0,512.0,0.001,MLP,0.413265306122449,0.30045088411796794,,,,,,,,,,,
147,MLP,0.001,100.0,1024.0,0.1,MLP,0.4030612244897959,0.26581019923411225,,,,,,,,,,,
148,MLP,0.001,100.0,1024.0,0.01,MLP,0.3979591836734694,0.2646642762257141,,,,,,,,,,,
149,MLP,0.001,100.0,1024.0,0.001,MLP,0.37244897959183676,0.2249687563512827,,,,,,,,,,,
150,MLP,0.001,200.0,64.0,0.1,MLP,0.3622448979591837,0.20148518667761173,,,,,,,,,,,
151,MLP,0.001,200.0,64.0,0.01,MLP,0.3877551020408163,0.23190650030339852,,,,,,,,,,,
152,MLP,0.001,200.0,64.0,0.001,MLP,0.40816326530612246,0.23834667147182875,,,,,,,,,,,
153,MLP,0.001,200.0,128.0,0.1,MLP,0.3520408163265306,0.22012092444293882,,,,,,,,,,,
154,MLP,0.001,200.0,128.0,0.01,MLP,0.413265306122449,0.2792853788136574,,,,,,,,,,,
155,MLP,0.001,200.0,128.0,0.001,MLP,0.39285714285714285,0.29783794369952554,,,,,,,,,,,
156,MLP,0.001,200.0,256.0,0.1,MLP,0.3469387755102041,0.24083694083694082,,,,,,,,,,,
157,MLP,0.001,200.0,256.0,0.01,MLP,0.35714285714285715,0.2475739874974917,,,,,,,,,,,
158,MLP,0.001,200.0,256.0,0.001,MLP,0.3622448979591837,0.2810746965452848,,,,,,,,,,,
159,MLP,0.001,200.0,512.0,0.1,MLP,0.3469387755102041,0.24835930476475876,,,,,,,,,,,
160,MLP,0.001,200.0,512.0,0.01,MLP,0.34183673469387754,0.20142962741613324,,,,,,,,,,,
161,MLP,0.001,200.0,512.0,0.001,MLP,0.3622448979591837,0.24717504339286853,,,,,,,,,,,
162,MLP,0.001,200.0,1024.0,0.1,MLP,0.34183673469387754,0.20539091172652815,,,,,,,,,,,
163,MLP,0.001,200.0,1024.0,0.01,MLP,0.3877551020408163,0.26400758305680916,,,,,,,,,,,
164,MLP,0.001,200.0,1024.0,0.001,MLP,0.4336734693877551,0.33782625448099424,,,,,,,,,,,
165,MLP,0.001,500.0,64.0,0.1,MLP,0.32653061224489793,0.21630644115152423,,,,,,,,,,,
166,MLP,0.001,500.0,64.0,0.01,MLP,0.3469387755102041,0.2125556470517711,,,,,,,,,,,
167,MLP,0.001,500.0,64.0,0.001,MLP,0.33163265306122447,0.24453062368777906,,,,,,,,,,,
168,MLP,0.001,500.0,128.0,0.1,MLP,0.3877551020408163,0.24454907535948076,,,,,,,,,,,
169,MLP,0.001,500.0,128.0,0.01,MLP,0.35714285714285715,0.3003494430712679,,,,,,,,,,,
